miasto,lat,lon
Rzeszow,50.0374531,22.0047174
Rudnik nad Sanem,50.4447766,22.2440326
Nisko,50.5198985,22.139886
Stalowa Wola,50.5653105,22.0644075
Lezajsk,50.265395749999996,22.42176054362956
Kolbuszowa,50.2433277,21.7754563
Janow Lubelski,50.7065895,22.4110663
Bilgoraj,50.5424846,22.7209326
Przeworsk,50.054495200000005,22.50137899352015
Lubaczow,50.15712635,23.11793411292922
Kanczuga,49.9843732,22.4131838
Dynow,49.813777349999995,22.238094355888542
Strzyzow,49.8702087,21.7856291
Brzozow,49.6950395,22.0196537
Sanok,49.5567406,22.211701678304745
Krosno,49.68898435,21.75347880451494
Dukla,49.55636,21.6847523
Lesko,49.4689014,22.3303816
Jaslo,49.746962749999994,21.493576018400987
Sedziszow Malopolski,50.0715996,21.7007524
Ropczyce,50.0528608,21.6116324
Debica,50.04611635,21.412761546800066
Mielec,50.280247349999996,21.46313425491699
Polaniec,50.4329071,21.2810473
Padew Narodowa,50.4362952,21.4967531
Tarnobrzeg,50.5924219,21.6964346
Sandomierz,50.6793066,21.7495055
Gorlice,49.6663323,21.16348426717198
Przemysl,49.78355525,22.78851130307014
Jezowe,50.3738461,22.1277161
Pysznica,50.5751897,22.1234297
Zamosc,50.721273,23.259588703837892
Tomaszow,51.2179132,20.1198905
Rymanow,49.576131,21.8676433
Ustrzyki dolne,49.4301874,22.5877003
Staszow,50.5612276,21.1677849
Jaroslaw,50.016361,22.674770
Radomyśl,50.186110,21.319545
Krakow,50.0619474,19.9368564
Warszawa,52.2319581,21.0067249
Kielce,50.85403585,20.609914352101452
